,attName,count,mean,std,min,25%,50%,75%,max
0,age,12438.0,43.50112558289114,4.8020348619074635,30.0,41.0,45.0,48.0,49.0
1,sex,12438.0,1.4688052741598328,0.4990460020350257,1.0,1.0,1.0,2.0,2.0
2,marital_status,12438.0,,,,,,,
3,ses,12438.0,1.6772793053545587,0.763640616633224,1.0,1.0,1.0,2.0,3.0
4,residence_cd,12438.0,1.06263064801415,0.24230718185490424,1.0,1.0,1.0,1.0,2.0
5,residence,12438.0,,,,,,,
6,weigh,12438.0,89.83774642225437,19.296247351500828,41.0,76.0,88.0,100.0,203.0
7,heigh,12438.0,167.94390577263223,10.068619728888356,91.5,160.0,168.0,175.0,202.0
8,BMI,12438.0,31.871921530792733,6.459714439793546,15.79,27.4,31.05,35.35,95.55
9,bp_sys,12438.0,124.80398777938575,13.615760352753304,75.0,118.0,124.0,130.0,200.0
10,bp_dias,12438.0,77.31516320951921,8.915362167499776,40.0,70.0,79.0,80.0,135.0
11,bp_cat,12438.0,,,,,,,
12,smoking,12438.0,1.636677922495578,0.8717349416280247,1.0,1.0,1.0,3.0,3.0
13,smoking_status,12438.0,,,,,,,
14,HbA1c,12438.0,7.623666183830823,1.8672499921138421,4.0,6.3,7.1,8.5,16.8
15,glucose,12438.0,153.75727608940343,64.72478224297531,40.0,110.0,134.0,177.0,883.0
16,creatinin,12438.0,0.7512349252291366,0.42887468020405667,0.11,0.6,0.71,0.84,11.15
17,albumin,10975.0,4.327445101830519,0.32929426615163154,2.5,4.1,4.30000019073486,4.53,5.7
18,alb24h,3520.0,219.8558580519767,4084.3736762439166,0.0,10.0,17.79999961853025,50.0,170385.0
19,ACR,11226.0,38.82921189363917,117.96208237380934,0.0,3.87,7.0,21.0,1494.57
20,cholesterol_total,12438.0,183.73688695931824,40.607061200417974,68.0,156.0,180.0,208.0,525.0
21,LDL,12438.0,104.31432706603171,33.206563791918875,30.0,81.3,101.2,124.4,250.0
22,HDL,12438.0,42.296205177681294,10.289037784718705,11.0,35.0,41.0,48.0,136.0
23,triglycerides,12438.0,199.98858337353272,152.42188228239277,24.0,115.0,166.0,237.0,3404.0
24,TSH,12438.0,13.801157742132421,1.6445445060628678,10.2,12.9,13.5,14.3,68.9
25,gravity_u,9908.0,1.0222502018570852,0.008225638176294698,1.0,1.016,1.021,1.028,1.05
26,nitrites_u,9918.0,0.03770921556765477,0.2023101314039905,0.0,0.0,0.0,0.0,2.0
27,leuko_u,9931.0,40.85157587352734,120.78871769557597,0.0,0.0,0.0,0.0,500.0
28,proteinuria,9932.0,0.05074506645187273,0.21948771070693246,0.0,0.0,0.0,0.0,1.0
29,WBC,12438.0,8.279028783099868,2.344549439447099,1.3,6.7,8.0,9.6,24.1
30,RBC,12438.0,4.953781958213668,0.516849587923455,3.0,4.6,4.9350000000000005,5.27,7.8
31,platelets,12438.0,278.5548319665541,77.7038537549153,49.0,226.0,268.0,321.0,808.0
32,MCV,12438.0,83.4395738980578,6.396095250582784,53.6,80.4,84.0,87.4,112.7
33,MPV,12438.0,9.38209921343991,1.311012572843401,5.5,8.5,9.2,10.1,19.0
34,Charlson,12438.0,1.755426917510854,1.2187728035465146,0.0,1.0,1.0,2.0,14.0
35,framingham_cvd,12438.0,0.12753317735970415,0.09271592745736858,0.00731,0.0618,0.10237,0.16396,0.80222
36,antidiabetics,12438.0,0.8576941630487217,0.3493775888255422,0.0,1.0,1.0,1.0,1.0
37,ERD,12438.0,0.006592699790963177,0.08093060418250776,0.0,0.0,0.0,0.0,1.0
38,CVD,12438.0,0.09205660073966876,0.28911745614129253,0.0,0.0,0.0,0.0,1.0
39,HTN,12438.0,0.318057565525004,0.46574068985777944,0.0,0.0,0.0,1.0,1.0
40,cancer,12438.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
41,cardiovascular_meds,12438.0,0.6026692394275607,0.48936518167571375,0.0,0.0,1.0,1.0,1.0
42,statines,12438.0,0.702202926515517,0.45730820063556193,0.0,0.0,1.0,1.0,1.0
43,immigrant,12438.0,0.17486734201640136,0.37986886722238994,0.0,0.0,0.0,0.0,1.0
44,dead_5y,12438.0,0.01583855925389934,0.12485572725109827,0.0,0.0,0.0,0.0,1.0
